name;description;category;notes;tags;mpn;manufacturing_status;manufacturer;manufacturer_product_url;needs_review;minamount;partUnit;storage_location;amount
W3PC;DEUTSCH DT wedgelock, 3-pin receptacle, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,receptacle,C-key,no-te-page;W3PC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3PD;DEUTSCH DT wedgelock, 3-pin receptacle, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,receptacle,D-key,no-te-page;W3PD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3P-1939;DEUTSCH DT wedgelock, 3-pin receptacle, J1939 key, blue;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing. J1939 key.;Deutsch,DT,Wedgelock,3-pin,receptacle,J1939;W3P-1939;active;TE Connectivity;https://www.te.com/en/product-W3P-1939.html;0;10;pcs;Deutsch->Deutsch 3 Pos;0
W3SA;DEUTSCH DT wedgelock, 3-pin plug, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,plug,A-key,no-te-page;W3SA;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3SB;DEUTSCH DT wedgelock, 3-pin plug, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,plug,B-key,no-te-page;W3SB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3SC;DEUTSCH DT wedgelock, 3-pin plug, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,plug,C-key,no-te-page;W3SC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3SD;DEUTSCH DT wedgelock, 3-pin plug, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,plug,D-key,no-te-page;W3SD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3S-1939;DEUTSCH DT wedgelock, 3-pin plug, J1939 key, blue;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing. J1939 key.;Deutsch,DT,Wedgelock,3-pin,plug,J1939;W3S-1939;active;TE Connectivity;https://www.te.com/en/product-W3S-1939.html;0;10;pcs;Deutsch->Deutsch 3 Pos;0
W4PA;DEUTSCH DT wedgelock, 4-pin receptacle, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,4-pin,receptacle,A-key;W4PA;active;TE Connectivity;https://www.te.com/en/product-W4PA.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4PB;DEUTSCH DT wedgelock, 4-pin receptacle, B key, black;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,4-pin,receptacle,B-key;W4PB;active;TE Connectivity;https://www.te.com/en/product-W4PB.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4PC;DEUTSCH DT wedgelock, 4-pin receptacle, C key, green;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,4-pin,receptacle,C-key;W4PC;active;TE Connectivity;https://www.te.com/en/product-W4PC.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4PD;DEUTSCH DT wedgelock, 4-pin receptacle, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,4-pin,receptacle,D-key;W4PD;active;TE Connectivity;https://www.te.com/en/product-W4PD.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4SA;DEUTSCH DT wedgelock, 4-pin plug, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing. TE marks this standard plug wedge do-not-use-for-new-design. The current seal-retention part is W4SA-P012.;Deutsch,DT,Wedgelock,4-pin,plug,A-key;W4SA;nrfnd;TE Connectivity;https://www.te.com/en/product-W4SA.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4SB;DEUTSCH DT wedgelock, 4-pin plug, B key, black;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing. TE marks this standard plug wedge do-not-use-for-new-design. The current seal-retention part is W4SB-P012.;Deutsch,DT,Wedgelock,4-pin,plug,B-key;W4SB;nrfnd;TE Connectivity;https://www.te.com/en/product-W4SB.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4SC;DEUTSCH DT wedgelock, 4-pin plug, C key, green;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing. TE marks this standard plug wedge do-not-use-for-new-design. The current seal-retention part is W4SC-P012.;Deutsch,DT,Wedgelock,4-pin,plug,C-key;W4SC;nrfnd;TE Connectivity;https://www.te.com/en/product-W4SC.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W4SD;DEUTSCH DT wedgelock, 4-pin plug, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing. TE marks this standard plug wedge do-not-use-for-new-design. The current seal-retention part is W4SD-P012.;Deutsch,DT,Wedgelock,4-pin,plug,D-key;W4SD;nrfnd;TE Connectivity;https://www.te.com/en/product-W4SD.html;0;10;pcs;Deutsch->Deutsch 4 Pos;0
W6PA;DEUTSCH DT wedgelock, 6-pin receptacle, A key, black;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing. TE lists this A-key receptacle wedge as black, not gray.;Deutsch,DT,Wedgelock,6-pin,receptacle,A-key;W6PA;active;TE Connectivity;https://www.te.com/en/product-W6PA.html;0;10;pcs;Deutsch->Deutsch 6 Pos;0
W6PB;DEUTSCH DT wedgelock, 6-pin receptacle, B key, black;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing. TE lists this part as obsolete and does not publish a color. Color here follows the DT 2-pin and 4-pin key code.;Deutsch,DT,Wedgelock,6-pin,receptacle,B-key;W6PB;discontinued;TE Connectivity;https://www.te.com/en/product-W6PB.html;0;10;pcs;Deutsch->Deutsch 6 Pos;0
W6PC;DEUTSCH DT wedgelock, 6-pin receptacle, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,6-pin,receptacle,C-key,no-te-page;W6PC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 6 Pos;0
W6PD;DEUTSCH DT wedgelock, 6-pin receptacle, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,6-pin,receptacle,D-key,no-te-page;W6PD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 6 Pos;0
W6SA;DEUTSCH DT wedgelock, 6-pin plug, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing. TE lists this part as obsolete and does not publish a color. Color here follows the DT 2-pin and 4-pin key code.;Deutsch,DT,Wedgelock,6-pin,plug,A-key;W6SA;discontinued;TE Connectivity;https://www.te.com/en/product-W6SA.html;0;10;pcs;Deutsch->Deutsch 6 Pos;0
W6SB;DEUTSCH DT wedgelock, 6-pin plug, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,6-pin,plug,B-key,no-te-page;W6SB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 6 Pos;0
W6SC;DEUTSCH DT wedgelock, 6-pin plug, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,6-pin,plug,C-key,no-te-page;W6SC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 6 Pos;0
W6SD;DEUTSCH DT wedgelock, 6-pin plug, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,6-pin,plug,D-key,no-te-page;W6SD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 6 Pos;0
W8PA;DEUTSCH DT wedgelock, 8-pin receptacle, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,receptacle,A-key,no-te-page;W8PA;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8PB;DEUTSCH DT wedgelock, 8-pin receptacle, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,receptacle,B-key,no-te-page;W8PB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8PC;DEUTSCH DT wedgelock, 8-pin receptacle, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,receptacle,C-key,no-te-page;W8PC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8PD;DEUTSCH DT wedgelock, 8-pin receptacle, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,receptacle,D-key,no-te-page;W8PD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8SA;DEUTSCH DT wedgelock, 8-pin plug, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,plug,A-key,no-te-page;W8SA;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8SB;DEUTSCH DT wedgelock, 8-pin plug, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,plug,B-key,no-te-page;W8SB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8SC;DEUTSCH DT wedgelock, 8-pin plug, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,plug,C-key,no-te-page;W8SC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W8SD;DEUTSCH DT wedgelock, 8-pin plug, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,8-pin,plug,D-key,no-te-page;W8SD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 8 Pos;0
W12PA;DEUTSCH DT wedgelock, 12-pin receptacle, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,receptacle,A-key,no-te-page;W12PA;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12PB;DEUTSCH DT wedgelock, 12-pin receptacle, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,receptacle,B-key,no-te-page;W12PB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12PC;DEUTSCH DT wedgelock, 12-pin receptacle, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,receptacle,C-key,no-te-page;W12PC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12PD;DEUTSCH DT wedgelock, 12-pin receptacle, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,receptacle,D-key,no-te-page;W12PD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12SA;DEUTSCH DT wedgelock, 12-pin plug, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,plug,A-key,no-te-page;W12SA;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12SB;DEUTSCH DT wedgelock, 12-pin plug, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,plug,B-key,no-te-page;W12SB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12SC;DEUTSCH DT wedgelock, 12-pin plug, C key, green;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,plug,C-key,no-te-page;W12SC;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
W12SD;DEUTSCH DT wedgelock, 12-pin plug, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT06 socket housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,12-pin,plug,D-key,no-te-page;W12SD;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 12 Pos;0
